Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
beverages,Getränke,AA Beverages,,0.00,,,,,,,,,,Boissons
beverages,Apfelsaft,Apple juice,621,34.95,33,35,2.0,0,0,0.09,45.14,802,1778,Jus de pomme
beverages,Rinderbrühe,Beef broth,1791,705.37,667,97,24.8,13.58,0,0.63,194.66,494,254,Bouillon de bœuf
beverages,Bier,Beer,770,43.32,40,59,3.3,0,0,0.09,39.41,701,1778,Bière
beverages,Randensaft,Beetroot juice,868,59.70,57,39,2.7,0,0,0.11,26.52,386,1455,Jus de betterave
beverages,Schwarztee,Black tea,1707,714.69,668.6,110,45.7,0.39,0,0.67,229.53,548,239,Thé noir
beverages,Buttermilch,Buttermilk,1467,119.19,117,27,2.2,0,0,0.13,33.68,415,1231,Babeurre
beverages,Champagner,Champagne,2145,147.44,137,152,9.3,1.1,0,0.11,69.98,1018,1455,Champagne
beverages,Hühnerbrühe,Chicken broth,557,219.37,181,97,24.8,13.58,0,0.63,194.66,494,254,Bouillon de poulet
beverages,Kaffee (gebrüht),Coffee (brewed),868,21.7,14.35,294,5.3,2.02,0,0.04,4,160,4000,Café (infusé)
beverages,Kaffeebohnen,Coffee beans,2122,1100.71,1043,111,48.6,9.07,0,0.83,396.48,764,193,Grains de café
beverages,Cognac,Cognac,1859,290.44,280,67,9.3,1.1,0,0.25,237.41,1519,640,Cognac
beverages,Fruchtsaft,Fruit juice,629,43.23,35,120,7.8,0.44,0,0.11,56.13,816,1455,Jus de fruits
beverages,Traubensaft,Grape juice,1774,121.99,116,87,6.0,0,0,0.11,60.07,874,1455,Jus de raisin
beverages,Grapefruitsaft,Grapefruit juice,621,46.56,32,194,6.8,7.72,0,0.12,25.08,334,1333,Jus de pamplemousse
beverages,Grüntee,Green tea,1707,714.69,668.6,110,45.7,0.39,0,0.67,229.53,548,239,Thé vert
beverages,Mangosaft,Mango Juice,2230,119.84,99,388,10.8,10.08,604.74,0.086,42,781,1860,Jus de mangue
beverages,Milch (mager),"Milk (lean, up to 0.5%)",1285,144.58,141,32,3.6,0,0,0.18,57,507,889,Lait (écrémé)
beverages,Vollmilch,"Milk (uht, full cream, 3.5%)",1554,194.19,191,26,3.2,0,0,0.2,68.31,546,800,Lait entier
beverages,Milch (teilentrahmt),"Milk (uht, partially skimmed, up to 2.5%)",1602,180.19,177,28,3.2,0,0,0.18,57.32,510,889,Lait (demi-écrémé)
beverages,Mineralwasser (ohne Kohlensäure),Mineral water (non-carbonated),1136,28.40,20.4,320,8.0,0,0,0.04,0,0,4000,Eau minérale (plate)
beverages,Hafermilch,Oat drink,357,24.56,11,197,13.6,0,0,0.11,56.61,823,1455,Lait d'avoine
beverages,Orangensaft,Orange juice,2248,154.58,127.1,400,17.9,9.58,0,0.11,51.59,750,1455,Jus d'orange
beverages,Pfirsichsaft,Peach juice,2748,154.58,127.1,489,17.9,9.58,0,0.09,48.25,858,1778,Jus de pêche
beverages,Birnensaft,Pear juice,734,50.47,39,167,11.5,0,0,0.11,47.54,691,1455,Jus de poire
beverages,Ananassaft,Pineapple juice,911,56.95,15,671,20.2,21.71,0,0.1,47.05,753,1600,Jus d'ananas
beverages,Portwein,Port wine,2582,290.44,280,93,9.3,1.1,0,0.18,152.14,1352,889,Vin de Porto
beverages,Reismilch,Rice drink,878,60.36,36,354,8.2,16.15,0,0.11,56.61,823,1455,Lait de riz
beverages,Sojamilch,Soy milk,644,60.37,22,409,24.8,13.58,0,0.15,39.65,423,1067,Lait de soja
beverages,Mineralwasser (mit Kohlensäure),Sparkling water,1596,39.90,31.9,320,8.0,0,0,0.04,0,0,4000,Eau minérale (gazeuse)
beverages,Spirituosen,Spirituous beverages,2789,418.37,380,256,24.8,13.58,0,0.24,218.78,1459,667,Spiritueux
beverages,Mandarinensaft,Tangerine juice,435,27.18,19,131,8.2,0,0,0.1,50.4,806,1600,Jus de mandarine
beverages,Tomatensaft,Tomato juice,924,40.42,33,170,7.4,0,0,0.07,15.52,355,2286,Jus de tomate
beverages,Wasser,Water,2,0.04,0.04,0,0.0,0,0,0.04,0,0,4000,Eau
beverages,Weisser Tee,White tea,1707,714.69,668.6,110,45.7,0.39,0,0.67,229.53,548,239,Thé blanc
beverages,Wein,Wine,2359,147.44,137,167,9.3,1.1,0,0.1,68.55,1097,1600,Vin
diary & eggs,Eier und Milch,AA Eggs and milk,,0.00,,,,,,,,,,Œufs et lait
diary & eggs,Butter,Butter,1384,1211.19,1209,3,2.2,0,0,1.4,730.87,835,114,Beurre
diary & eggs,Cheddar,Cheddar,1322,941.69,938,5,3.7,0,0,1.14,406.04,570,140,Cheddar
diary & eggs,Frischkäse,"Cheese (fresh, 0 - 15%)",684,324.69,321,8,3.7,0,0,0.76,334.38,704,211,Fromage à la crème
diary & eggs,Käse (hart),"Cheese (hard, more than 30%)",1310,941.69,938,5,3.7,0,0,1.15,396.48,552,139,Fromage (à pâte dure)
diary & eggs,Käse (halbhart),"Cheese (semi-hard, 25 - 30%)",1203,864.69,861,5,3.7,0,0,1.15,225.23,313,139,Fromage (à pâte mi-dure)
diary & eggs,Käse (weich),"Cheese (soft, 20 -25%)",1212,666.69,663,7,3.7,0,0,0.88,358.27,651,182,Fromage (à pâte molle)
diary & eggs,Kokosmilch,Coconut milk,556,138.92,110,116,21.2,7.72,0,0.4,185.58,742,400,Lait de coco
diary & eggs,Kaffeesahne,Coffee creamer,1298,292.10,289.9,10,2.2,0,0,0.36,159.07,707,444,Crème à café
diary & eggs,Doppelrahm,"Cream (double cream, 45% fat)",1374,721.47,719,5,2.5,0,0,0.84,417.98,796,190,Double crème
diary & eggs,Rahm (Vollfett),"Cream (full fat, 35% fat)",1408,589.47,587,6,2.5,0,0,0.67,327.22,781,239,Crème entière
diary & eggs,Rahm (halbfett),"Cream (half-fat, 25% fat)",1310,458.47,456,7,2.5,0,0,0.56,269.9,771,286,Demi-crème
diary & eggs,Sahne-Pulver,Cream powder,2729,1534.95,1533,3,2.0,0,0,0.9,559.85,995,178,Poudre de crème
diary & eggs,Crème Fraiche,Creme fraiche cheese,806,342.47,340,6,2.5,0,0,0.68,329.61,776,235,Crème fraîche
diary & eggs,Quark,Curd,1620,293.69,290,20,3.7,0,0,0.29,62.58,345,552,Fromage blanc
diary & eggs,Eiweiss (Ei),Egg white,1607,271.26,267,25,4.3,0,0,0.27,44.66,265,593,Blanc d'œuf (œuf)
diary & eggs,Eigelb,Egg yolk,477,271.26,267,7,4.3,0,0,0.91,346.33,609,176,Jaune d'œuf
diary & eggs,Eier (Freilandhaltung),Eggs (free range),750,220.26,216,15,4.3,0,0,0.47,141,480,340,Œufs (élevage en plein air)
diary & eggs,Emmentaler,Emmentaler,1274,955.69,952,5,3.7,0,0,1.2,406.04,541,133,fromage Emmental
diary & eggs,Ziegenkäse,Goat cheese,756,340.42,333,16,7.4,0,0,0.72,241.23,536,222,Fromage de chèvre
diary & eggs,Ziegenmilch,Goat milk,1049,111.42,104,70,7.4,0,0,0.17,56.61,533,941,Lait de chèvre
diary & eggs,Grana padano,Grana padano,1215,941.69,938,5,3.7,0,0,1.24,372.6,481,129,Grana padano
